country,iso3,cpi_score,gdp_per_capita,polity2,democracy
Denmark,DNK,88,62134.0277804831,10,1
New Zealand,NZL,88,44814.3115073316,10,1
Finland,FIN,85,53159.1434717446,10,1
Singapore,SGP,85,101649.074863026,-2,0
Sweden,SWE,85,56668.3156096077,10,1
Switzerland,CHE,85,72372.2427980477,10,1
Norway,NOR,84,70005.8885797836,10,1
Netherlands,NLD,82,61242.5475414734,10,1
Germany,DEU,80,57557.8846084843,10,1
Luxembourg,LUX,80,124569.44515978,10,1
Australia,AUS,77,53378.3927789903,10,1
Canada,CAN,77,51663.2492066497,10,1
Hong Kong,HKG,77,62495.9599403015,NA,NA
United Kingdom,GBR,77,49930.1688846785,8,1
Austria,AUT,76,60398.5991105885,10,1
Belgium,BEL,76,56257.1574745554,8,1
Estonia,EST,75,39976.9554816851,9,1
Iceland,ISL,75,60257.5346309881,NA,NA
Japan,JPN,74,43593.5050635196,10,1
Ireland,IRL,72,89818.2172549684,10,1
United Arab Emirates,ARE,71,70089.3240378269,-8,0
Uruguay,URY,71,22515.1935903221,10,1
France,FRA,69,50996.0280839373,10,1
Bhutan,BTN,68,12355.7935697174,7,1
Chile,CHL,67,27002.2617508326,10,1
United States of America,USA,67,65297.5175082743,8,1
Seychelles,SYC,66,30516.6772624267,NA,NA
Taiwan,TWN,65,NA,10,1
Barbados,BRB,64,16330.8876795581,NA,NA
Bahamas,BHS,63,38742.5457547658,NA,NA
Qatar,QAT,63,94028.5976845505,-10,0
Spain,ESP,62,43443.5833739784,10,1
"Korea, South",KOR,61,44011.2315131667,8,1
Portugal,PRT,61,37856.3471346082,10,1
Botswana,BWA,60,18552.7532590413,8,1
Brunei Darussalam,BRN,60,64847.6517376043,NA,NA
Israel,ISR,60,42894.4926800361,6,1
Lithuania,LTU,60,39911.8788857671,10,1
Slovenia,SVN,60,42422.2786841348,10,1
Saint Vincent and the Grenadines,VCT,59,13037.681093997,NA,NA
Cabo Verde,CPV,58,7489.21150258395,10,1
Costa Rica,CRI,57,21737.6499065213,10,1
Cyprus,CYP,57,41254.40458771,10,1
Latvia,LVA,57,33002.9732949304,8,1
Georgia,GEO,56,15656.6039478208,7,1
Poland,POL,56,35170.2056620571,10,1
Saint Lucia,LCA,56,16132.4145175205,NA,NA
Dominica,DMA,55,12444.441138884,NA,NA
Czechia,CZE,54,44286.9474898875,9,1
Oman,OMN,54,28507.4762166219,-8,0
Rwanda,RWA,54,2325.40791678753,-3,0
Grenada,GRD,53,17792.9086435426,NA,NA
Italy,ITA,53,45719.008290148,10,1
Malta,MLT,53,47445.2020829218,NA,NA
Mauritius,MUS,53,23882.3542676011,10,1
Saudi Arabia,SAU,53,49040.3429456877,-10,0
Malaysia,MYS,51,29619.6872725667,7,1
Namibia,NAM,51,10063.6499589568,6,1
Greece,GRC,50,32503.789920638,10,1
Armenia,ARM,49,14257.9624870448,7,1
Jordan,JOR,49,10517.0670336401,-3,0
Slovakia,SVK,49,33515.4325286195,10,1
Belarus,BLR,47,20101.1150499252,-7,0
Croatia,HRV,47,31148.0007910082,9,1
Cuba,CUB,47,NA,-5,0
Sao Tome and Principe,STP,47,4145.22703770579,NA,NA
Montenegro,MNE,45,24040.1170028702,9,1
Senegal,SEN,45,3545.10033995315,7,1
Bulgaria,BGR,44,25312.0802278685,9,1
Hungary,HUN,44,34962.032489698,10,1
Jamaica,JAM,44,10193.4695239053,9,1
Romania,ROU,44,33323.2757008224,9,1
South Africa,ZAF,44,13034.1653285527,9,1
Tunisia,TUN,44,11231.5710195248,7,1
Ghana,GHA,43,5652.15060759374,8,1
Maldives,MDV,43,20395.4942407226,NA,NA
Vanuatu,VUT,43,3292.54406464072,NA,NA
Argentina,ARG,42,23040.2879526544,9,1
Bahrain,BHR,42,47002.5493359525,-10,0
China,CHN,42,16804.425782267,-7,0
Kuwait,KWT,42,52059.7233148301,-7,0
Solomon Islands,SLB,42,2780.63775054572,8,1
Benin,BEN,41,3432.78130027653,7,1
Guyana,GUY,41,13661.2802492827,7,1
Lesotho,LSO,41,2824.0924775131,8,1
Burkina Faso,BFA,40,2274.71973639652,6,1
India,IND,40,6996.55692650234,9,1
Morocco,MAR,40,7826.16767727681,-4,0
Timor-Leste,TLS,40,3709.81127019698,8,1
Trinidad and Tobago,TTO,40,27334.1839780114,10,1
Turkey,TUR,40,28133.0886494052,-4,0
Colombia,COL,39,16012.4457431478,7,1
Ecuador,ECU,39,11878.7183637027,5,1
Brazil,BRA,38,15299.9872589341,8,1
Ethiopia,ETH,38,2319.70737799741,1,0
Kazakhstan,KAZ,38,27517.9384466114,-6,0
Peru,PER,38,13416.4366277108,9,1
Serbia,SRB,38,19494.4062048351,8,1
Sri Lanka,LKA,38,13656.8370383651,6,1
Suriname,SUR,38,17256.02044768,5,1
Tanzania,TZA,38,2770.68117187672,3,0
Gambia,GMB,37,2321.23774758047,4,0
Indonesia,IDN,37,12334.9172683236,9,1
Albania,ALB,36,14648.2674019058,9,1
Algeria,DZA,36,12019.9283559331,2,0
C̫te d'Ivoire,CIV,36,5443.22483894621,4,0
El Salvador,SLV,36,9164.34612258003,8,1
Kosovo,KSV,36,NA,NA,NA
Thailand,THA,36,19276.8963300209,-3,0
Vietnam,VNM,36,8397.02104225433,-7,0
Bosnia and Herzegovina,BIH,35,16288.8302196838,NA,NA
Mongolia,MNG,35,12861.8365587725,10,1
North Macedonia,MKD,35,18107.7835662903,9,1
Panama,PAN,35,32850.8193505311,9,1
Moldova,MDA,34,13598.2612449572,9,1
Philippines,PHL,34,9302.38529765549,8,1
Egypt,EGY,33,12283.8073656393,-4,0
Eswatini,SWZ,33,9003.36423142681,-9,0
Nepal,NPL,33,3567.99293874045,7,1
Sierra Leone,SLE,33,1794.31480252607,7,1
Ukraine,UKR,33,13341.2105189612,4,0
Zambia,ZMB,33,3624.02493904299,6,1
Niger,NER,32,1278.69815751027,5,1
Bolivia,BOL,31,9110.55582043167,7,1
Kenya,KEN,31,4521.47915130539,9,1
Kyrgyzstan,KGZ,31,5486.15508967045,8,1
Mexico,MEX,31,20944.0290161466,8,1
Pakistan,PAK,31,4898.0505701722,7,1
Azerbaijan,AZE,30,15039.8093220622,-7,0
Gabon,GAB,30,15611.6486204056,3,0
Malawi,MWI,30,1106.61893517062,6,1
Mali,MLI,30,2424.33087194347,5,1
Russia,RUS,30,29181.3632177676,4,0
Laos,LAO,29,8172.72608750719,-7,0
Mauritania,MRT,29,5427.05824167399,-2,0
Togo,TGO,29,1667.300515485,-2,0
Dominican Republic,DOM,28,19227.7155985312,7,1
Guinea,GIN,28,2675.46157089664,4,0
Liberia,LBR,28,1491.00369641032,7,1
Myanmar,MMR,28,5369.7074947396,8,1
Paraguay,PRY,28,13246.4617553151,9,1
Angola,AGO,27,6965.51137380329,-2,0
Djibouti,DJI,27,5779.67576510782,3,0
Papua New Guinea,PNG,27,4547.56376486565,5,1
Uganda,UGA,27,2284.26573573575,-1,0
Bangladesh,BGD,26,4964.09138891893,-6,0
Central African Republic,CAF,26,986.680896715623,6,1
Uzbekistan,UZB,26,7308.48074451221,-9,0
Cameroon,CMR,25,3803.45724026778,-4,0
Guatemala,GTM,25,9019.69380356991,8,1
Iran,IRN,25,12937.4759795684,-7,0
Lebanon,LBN,25,15195.5296771146,6,1
Madagascar,MDG,25,1719.90601296554,6,1
Mozambique,MOZ,25,1338.09666600215,5,1
Nigeria,NGA,25,5362.75841748844,7,1
Tajikistan,TJK,25,3529.31112569977,-3,0
Honduras,HND,24,5981.45089204649,7,1
Zimbabwe,ZWE,24,2961.44642810493,4,0
Nicaragua,NIC,22,5646.39946843178,6,1
Cambodia,KHM,21,4583.01645053007,-4,0
Chad,TCD,21,1649.52917196648,-2,0
Comoros,COM,21,3194.90074820584,-3,0
Eritrea,ERI,21,NA,-7,0
Iraq,IRQ,21,11362.6914755367,6,1
Afghanistan,AFG,19,2156.41948202725,-1,0
Burundi,BDI,19,784.92698867139,-1,0
Congo,COG,19,3835.66258234277,-4,0
Guinea Bissau,GNB,19,2077.40166918098,6,1
Turkmenistan,TKM,19,NA,-8,0
Democratic Republic of the Congo,COD,18,1146.53586681718,-3,0
Haiti,HTI,18,3034.01211008755,5,1
"Korea, North",PRK,18,NA,-10,0
Libya,LBY,17,15845.6599284929,0,0
Equatorial Guinea,GNQ,16,19379.2424653675,-6,0
Sudan,SDN,16,4122.52668491946,-4,0
Venezuela,VEN,15,NA,-3,0
Yemen,YEM,15,NA,0,0
Syria,SYR,14,NA,-9,0
Somalia,SOM,12,NA,5,1
South Sudan,SSD,12,NA,0,0
